ticker,idBbGlobalCompanyName,bics_sector,encore_score,aqueduct_score,nature_risk_raw,biodiversity_score,nature_risk_tier,nature_risk_method
DP4B,AP Moller - Maersk A/S,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
SEBA,Skandinaviska Enskilda Banken AB,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
ALV,Allianz SE,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
E7V,Rexel SA,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
IES,Intesa Sanpaolo SpA,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
RWE,RWE AG,Utilities,3.5,4.0,3.7,67.5,High,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
NDA,Aurubis AG,Materials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
CBK,Commerzbank AG,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
DBK,Deutsche Bank AG,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
GBF,Bilfinger SE,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
HEI,HeidelbergCement AG,Materials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
HOT,HOCHTIEF AG,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
SDF,K+S AG,Materials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
SIE,Siemens AG,Industrials,2.5,2.5,2.5,37.5,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
MUV2,Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
MOH,LVMH Moet Hennessy Louis Vuitton SE,Consumer Discretionary,2.0,2.0,2.0,25.0,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
CRIN,UniCredit SpA,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
OEWA,Verbund AG,Utilities,3.5,4.0,3.7,67.5,High,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
LOR,L'Oreal SA,Consumer Staples,3.0,3.0,3.0,50.0,Medium,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
OMV,OMV AG,Energy,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
SRT,Sartorius AG,Health Care,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
IBE1,Iberdrola SA,Utilities,3.5,4.0,3.7,67.5,High,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
REP,Repsol SA,Energy,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
SCT,SSE PLC,Utilities,3.5,4.0,3.7,67.5,High,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
AIXA,AIXTRON SE,Technology,1.5,2.0,1.7,17.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
BAKA,Bankinter SA,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
INN1,ING Groep NV,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
AXA,AXA SA,Financials,2.5,2.0,2.3,32.5,Low,Sector proxy: ENCORE (60%) + WRI Aqueduct (40%)
