ticker,idBbGlobalCompanyName,bics_sector,exchCode,taxonomy_eligible_pct,taxonomy_aligned_pct,euTaxnmyEstmatdDnshMitgtnLevl1,euTaxnmyEstmatdDnshMitgtnLevl2,euTaxnmyEstmatdDnshAdapttnLevl1,euTaxnmyEstmatdDnshAdapttnLevl2
DP4B,AP Moller - Maersk A/S,Industrials,GR,0.0,,66.67,,57.14,60.0
SEBA,Skandinaviska Enskilda Banken AB,Financials,GR,,,66.67,,71.43,
ALV,Allianz SE,Financials,GR,,,77.78,,85.71,
E7V,Rexel SA,Industrials,GR,,0.0,66.67,,28.57,
IES,Intesa Sanpaolo SpA,Financials,GR,,,55.56,,42.86,
RWE,RWE AG,Utilities,GR,13.09,,66.67,,57.14,40.0
NDA,Aurubis AG,Materials,GR,,,11.11,,14.29,
CBK,Commerzbank AG,Financials,GR,,,88.89,,71.43,
DBK,Deutsche Bank AG,Financials,GR,,,66.67,,100.0,
GBF,Bilfinger SE,Industrials,GR,0.0,,44.44,,14.29,
HEI,HeidelbergCement AG,Materials,GR,0.0,,77.78,0.0,85.71,80.0
HOT,HOCHTIEF AG,Industrials,GR,0.0,,66.67,0.0,42.86,40.0
SDF,K+S AG,Materials,GR,0.0,0.0,88.89,,28.57,20.0
SIE,Siemens AG,Industrials,GR,,,77.78,,57.14,40.0
MUV2,Muenchener Rueckversicherungs-Gesellschaft AG in Muenchen,Financials,GR,,,77.78,,71.43,
MOH,LVMH Moet Hennessy Louis Vuitton SE,Consumer Discretionary,GR,,0.0,55.56,,42.86,
CRIN,UniCredit SpA,Financials,GR,,,77.78,,100.0,
OEWA,Verbund AG,Utilities,GR,19.24,,77.78,100.0,71.43,60.0
LOR,L'Oreal SA,Consumer Staples,GR,,0.0,55.56,,71.43,
OMV,OMV AG,Energy,GR,,,66.67,,100.0,
SRT,Sartorius AG,Health Care,GR,0.0,0.0,66.67,,14.29,
IBE1,Iberdrola SA,Utilities,GR,59.85,,66.67,50.0,42.86,40.0
REP,Repsol SA,Energy,GR,0.0,,77.78,,57.14,
SCT,SSE PLC,Utilities,GR,41.17,,77.78,100.0,100.0,100.0
AIXA,AIXTRON SE,Technology,GR,0.0,57.0,66.67,,14.29,
BAKA,Bankinter SA,Financials,GR,,,77.78,,57.14,
INN1,ING Groep NV,Financials,GR,,,66.67,,85.71,
AXA,AXA SA,Financials,GR,,,66.67,,100.0,
RIO1,Rio Tinto PLC,Materials,GR,0.0,,55.56,0.0,57.14,40.0
VOL3,Volvo AB,Industrials,GR,0.0,,44.44,,71.43,80.0
VHM,Sacyr SA,Industrials,GR,0.0,,66.67,50.0,28.57,20.0
KPN,Koninklijke KPN NV,Communications,GR,0.0,0.0,88.89,,57.14,60.0
TCO0,Tesco PLC,Consumer Staples,GR,0.0,,77.78,,85.71,100.0
LS4C,London Stock Exchange Group PLC,Financials,GR,,,55.56,,85.71,
SGE,Societe Generale SA,Financials,GR,,,77.78,,71.43,
BNP,BNP Paribas SA,Financials,GR,,,77.78,,85.71,
AEND,Aegon NV,Financials,GR,,,77.78,,57.14,
ASG,Assicurazioni Generali SpA,Financials,GR,,,55.56,,100.0,
FTE,Orange SA,Communications,GR,0.0,,77.78,,42.86,40.0
SND,Schneider Electric SE,Industrials,GR,59.85,,77.78,,71.43,60.0
AIL,Air Liquide SA,Materials,GR,0.0,,66.67,,100.0,100.0
AHOG,Koninklijke Ahold Delhaize NV,Consumer Staples,GR,,0.0,55.56,,85.71,
RTO1,Rentokil Initial PLC,Industrials,GR,0.0,,55.56,,71.43,
SVHG,Svenska Handelsbanken AB,Financials,GR,,,66.67,,85.71,
BCPN,Banco Comercial Portugues SA,Financials,GR,,,66.67,,42.86,
NOA3,Nokia Oyj,Technology,GR,0.0,,66.67,,57.14,60.0
BSI,BE Semiconductor Industries NV,Technology,GR,0.0,0.0,77.78,,57.14,
TQI,Telecom Italia SpA/Milano,Communications,GR,,,77.78,,14.29,20.0
UUEC,United Utilities Group PLC,Utilities,GR,0.0,,77.78,100.0,85.71,100.0
ASME,ASML Holding NV,Technology,GR,0.0,0.0,55.56,,71.43,
SWJ,Swisscom AG,Communications,GR,1.44,,100.0,,57.14,60.0
DTE,Deutsche Telekom AG,Communications,GR,1.09,,77.78,,85.71,100.0
8RJ,Belimo Holding AG,Industrials,GR,0.0,,77.78,,14.29,20.0
DSN,Danske Bank A/S,Financials,GR,,,66.67,,42.86,
TOTB,TotalEnergies SE,Energy,GR,0.0,1.5,77.78,,85.71,80.0
CENB,Centrica PLC,Utilities,GR,0.0,,77.78,,42.86,40.0
NOH1,Norsk Hydro ASA,Materials,GR,53.34,28.0,88.89,100.0,71.43,60.0
ENA,Endesa SA,Utilities,GR,10.17,27.2,66.67,50.0,42.86,40.0
LTEC,Logitech International SA,Technology,GR,,,77.78,,28.57,
INR,International Consolidated Airlines Group SA,Industrials,GR,,0.0,77.78,,42.86,
SUL1,Sulzer AG,Industrials,GR,0.0,,88.89,,14.29,
NXG,Next PLC,Consumer Discretionary,GR,0.0,,55.56,25.0,71.43,80.0
IVS,Investor AB,Financials,GR,,,77.78,,42.86,
SGM,STMicroelectronics NV,Technology,GR,0.0,,55.56,,57.14,60.0
NCYD,Tele2 AB,Communications,GR,0.0,,77.78,,85.71,80.0
MA6,Marks & Spencer Group PLC,Consumer Staples,GR,,,55.56,,57.14,
RYSD,NatWest Group PLC,Financials,GR,,,66.67,,100.0,
1SQ,Swissquote Group Holding SA,Financials,GR,,,55.56,,14.29,
EBO,Erste Group Bank AG,Financials,GR,,,55.56,,28.57,
DIO,Christian Dior SE,Consumer Discretionary,GR,,0.0,55.56,,42.86,
STD,Standard Chartered PLC,Financials,GR,,,77.78,,71.43,
KDB,KBC Group NV,Financials,GR,,,77.78,,85.71,
UNC,UCB SA,Health Care,GR,,0.0,88.89,,42.86,
SIKA,Sika AG,Materials,GR,0.0,,77.78,,57.14,
AVS,ASM International NV,Technology,GR,0.0,0.0,55.56,,71.43,
HIJ2,Arcadis NV,Industrials,GR,0.0,,66.67,,28.57,
SEO,Serco Group PLC,Technology,GR,25.0,,77.78,,100.0,100.0
SVKB,Sandvik AB,Industrials,GR,0.0,,55.56,50.0,28.57,40.0
CMAB,Mapfre SA,Financials,GR,,,55.56,,28.57,
BYG,Bouygues SA,Industrials,GR,0.0,,77.78,33.33,42.86,40.0
